"Occupation - National Occupational Classification (NOC) 2016 (693A)","Total - Period of immigration [4]","  1980 to 1990","  1991 to 2000","  2001 to 2010","    2001 to 2005","    2006 to 2010","  2011 to 2016 [5]", 
"Total - Occupation - National Occupational Classification (NOC) 2016 [6]",5327955,1019845,1486655,1825695,894305,931395,995755 
"  Occupation - Not applicable [7]",1408380,292360,373135,449725,219825,229900,293165 
"  All occupations [8]",3919575,727485,1113525,1375965,674475,701495,702595 
"    0 Management occupations",370065,85540,112815,118230,61205,57025,53480 
"      00 Senior management occupations",30920,8470,9090,9070,4655,4410,4290 
"        001 Legislators and senior management",30920,8470,9090,9070,4655,4415,4295 
"          0011 Legislators",245,85,90,45,20,25,25 
"          0012 Senior government managers and officials",1230,430,295,375,195,185,125 
"          0013 Senior managers - financial, communications and other business services",10520,2565,3100,3325,1710,1620,1530 
"          0014 Senior managers - health, education, social and community services and membership organizations",2765,785,745,855,385,470,375 
"          0015 Senior managers - trade, broadcasting and other services, n.e.c.",8475,2285,2500,2450,1315,1135,1245 
"          0016 Senior managers - construction, transportation, production and utilities",7695,2315,2360,2020,1040,985,995 
"      01-05 Specialized middle management occupations",125140,28465,38085,40645,21555,19090,17945 
"        011 Administrative services managers",33780,7665,9930,11295,6100,5195,4890 
"          0111 Financial managers",17125,4020,5225,5730,3170,2560,2150 
"          0112 Human resources managers",6540,1525,1915,2035,1115,925,1060 
"          0113 Purchasing managers",4320,845,1140,1575,850,725,765 
"          0114 Other administrative services managers",5790,1265,1650,1960,965,990,910 
"        012 Managers in financial and business services",40040,9255,12145,12715,6575,6140,5930 
"          0121 Insurance, real estate and financial brokerage managers",7225,1765,2195,2250,1200,1050,1020 
"          0122 Banking, credit and other investment managers",14870,3855,4815,4565,2520,2045,1635 
"          0124 Advertising, marketing and public relations managers",13205,2630,3605,4355,2070,2290,2615 
"          0125 Other business services managers",4740,1005,1535,1545,785,755,655 
"        013 Managers in communication (except broadcasting)",3740,840,1175,1195,540,660,520 
"          0131 Telecommunication carriers managers",2965,645,930,950,425,525,435 
"          0132 Postal and courier services managers",775,195,245,245,120,125,85 
"        021 Managers in engineering, architecture, science and information systems",26330,5200,8425,8670,4720,3945,4030 
"          0211 Engineering managers",5665,1145,1770,1955,1045,910,790 
"          0212 Architecture and science managers",2600,520,765,935,500,430,380 
"          0213 Computer and information systems managers",18070,3535,5895,5785,3175,2610,2855 
"        031 Managers in health care",5105,1290,1570,1715,850,865,530 
"          0311 Managers in health care",5105,1290,1570,1715,850,865,525 
"        041 Managers in public administration",2085,670,640,660,385,280,115 
"          0411 Government managers - health and social policy development and program administration",455,180,115,145,110,35,15 
"          0412 Government managers - economic analysis, policy development and program administration",875,250,295,275,130,140,55 
"          0413 Government managers - education policy development and program administration",170,45,40,75,55,20,10 
"          0414 Other managers in public administration",585,195,190,170,85,85,35 
"        042 Managers in education and social and community services",9730,2520,2795,3175,1710,1465,1240 
"          0421 Administrators - post-secondary education and vocational training",3055,655,815,1095,610,495,480 
"          0422 School principals and administrators of elementary and secondary education",2355,700,670,705,390,310,280 
"          0423 Managers in social, community and correctional services",4330,1165,1305,1375,715,660,485 
"        043 Managers in public protection services",1405,315,555,395,270,125,135 
"          0431 Commissioned police officers",50,15,15,15,10,0,0 
"          0432 Fire chiefs and senior firefighting officers",60,20,0,25,10,15,0 
"          0433 Commissioned officers of the Canadian Armed Forces",1290,280,530,350,255,100,130 
"        051 Managers in art, culture, recreation and sport",2920,705,845,820,405,415,550 
"          0511 Library, archive, museum and art gallery managers",460,125,125,140,70,65,75 
"          0512 Managers - publishing, motion pictures, broadcasting and performing arts",1110,270,300,315,160,155,220 
"          0513 Recreation, sports and fitness program and service directors",1350,315,410,365,175,195,260 
"      06 Middle management occupations in retail and wholesale trade and customer services",145230,31515,44405,47170,24020,23155,22140 
"        060 Corporate sales managers",10630,2310,3155,3390,1625,1765,1775 
"          0601 Corporate sales managers",10630,2305,3155,3390,1625,1765,1775 
"        062 Retail and wholesale trade managers",79035,17220,24700,26075,13505,12570,11030 
"          0621 Retail and wholesale trade managers",79035,17220,24700,26075,13505,12570,11030 
"        063 Managers in food service and accommodation",48245,10315,14235,15345,7660,7685,8355 
"          0631 Restaurant and food service managers",42780,9300,12610,13515,6765,6750,7350 
"          0632 Accommodation service managers",5465,1015,1620,1830,895,935,1000 
"        065 Managers in customer and personal services, n.e.c.",7325,1670,2315,2360,1230,1130,975 
"          0651 Managers in customer and personal services, n.e.c.",7325,1665,2315,2365,1230,1130,975 
"      07-09 Middle management occupations in trades, transportation, production and utilities",68775,17090,21235,21350,10980,10370,9100 
"        071 Managers in construction and facility operation and maintenance",34425,8075,10160,11390,5715,5680,4800 
"          0711 Construction managers",13580,2805,3850,4645,2385,2265,2285 
"          0712 Home building and renovation managers",12185,3025,3655,4095,1985,2110,1415 
"          0714 Facility operation and maintenance managers",8655,2250,2660,2650,1345,1305,1095 
"        073 Managers in transportation",7130,1330,2425,2400,1350,1050,970 
"          0731 Managers in transportation",7125,1335,2425,2400,1350,1050,970 
"        081 Managers in natural resources production and fishing",1385,255,310,565,270,295,250 
"          0811 Managers in natural resources production and fishing",1385,255,310,565,270,295,255 
"        082 Managers in agriculture, horticulture and aquaculture",11390,3505,4060,2585,1265,1325,1240 
"          0821 Managers in agriculture",10420,3195,3760,2335,1160,1175,1130 
"          0822 Managers in horticulture",830,265,270,190,90,105,95 
"          0823 Managers in aquaculture",140,45,30,55,15,40,10 
"        091 Managers in manufacturing and utilities",14450,3920,4280,4410,2385,2020,1845 
"          0911 Manufacturing managers",13370,3640,4020,4025,2180,1850,1680 
"          0912 Utilities managers",1085,280,260,375,205,175,160 
"    1 Business, finance and administration occupations",575730,117560,174595,197645,101490,96160,85930 
